,order_number,customer_id,product_id,quantity,date,staff_id
0,5766955265,43165534,103379147,48,2022-01-20,877147
1,2899221300,19500529,252357065,5,2022-08-27,845680
2,9630164011,13084637,117254517,18,2023-05-21,260145
3,2683489562,14967376,170463582,13,2021-07-02,211254
4,9806643758,39275847,109018530,49,2023-08-29,595146
5,1848951708,60762837,138107485,39,2022-08-27,223364
6,3388738788,59139836,105663942,1,2021-05-14,913288
7,7460686127,75612611,100947274,36,2021-05-09,538245
8,8825768897,67230791,106863963,21,2020-04-10,947021
9,1202586314,76941613,261028263,13,2021-11-06,223773
10,0334328097,95981864,228989363,42,2020-06-14,226666
11,3177546266,34500789,022881852,13,2021-12-11,417663
12,9499664750,24232637,262871376,34,2023-07-02,228858
13,8001554743,11718495,023416722,17,2022-03-09,154252
14,7984433045,37704140,155550591,9,2021-09-08,940526
15,0418579146,36750820,173093879,35,2020-12-14,840953
16,8066473889,82877732,015267827,10,2022-12-15,879547
17,1985945403,27531205,124767703,47,2020-09-30,028046
18,5869983410,17032816,261038020,44,2022-02-21,417663
19,0404403799,09738181,216124178,45,2023-04-24,702631
20,2314028584,28556861,190238356,47,2020-08-26,901455
21,6967125629,58496554,252770233,2,2023-03-26,508053
22,8234731621,23617672,050322710,48,2020-09-24,260145
23,9281300860,00334746,261038020,20,2023-10-22,258990
24,9383024867,55152172,073125816,28,2021-07-23,733884
25,2926316285,94978853,100347901,2,2022-04-27,343319
26,7893357759,09042924,002455543,3,2022-11-03,374381
27,0741616691,94065384,100347901,23,2021-06-10,914287
28,5038488244,98634415,003608623,38,2023-04-09,267168
29,9427716686,49817872,063587072,44,2023-04-25,374381
30,0539831717,63534042,261028263,40,2022-03-03,901455
31,5601525764,09708935,031692405,32,2020-11-28,595146
32,5518508377,24584510,012377498,43,2023-02-14,272008
33,3304502262,95775213,154245455,5,2021-11-18,595146
34,1902859313,67429236,104741661,45,2021-11-13,509527
35,9596887199,81781349,249019417,33,2021-10-09,617170
36,7686518723,97499777,249157126,22,2023-12-23,071162
37,3984003173,29521564,154245455,26,2023-03-22,925090
38,2346293273,25639032,174377494,2,2020-04-30,150231
39,2051102983,54433517,217536280,30,2022-03-10,914287
40,4068420312,95993649,073125816,19,2022-09-29,746873
41,0262202678,46802127,031692405,42,2023-12-13,228858
